La168_1	La248	28	40	19717	0.202459887635
La168_2	La248	196	30	20258	0.147870662461
Luc_1	Luc306	34	1811	6632	21.4497216629
Luc_2	Luc306	274	1770	6654	21.0113960114
Gfp_1	Gpf414	125	4363	8950	32.772478029
Gfp_2	Gpf414	321	3359	6207	35.1139452227
T353_1	Taq353	74	2500	2280	52.3012552301
T353_2	Taq353	315	1702	2089	44.895805856
T324_1	Taq324	48	2533	9	99.6459480724
T324_2	Taq324	303	2500	12	99.5222929936
Kan_1	Kan190	13	4786	18153	20.8640306901
Kan_2	Kan190	179	4990	18017	21.6890511583
Sla341_1	Sla341	13	1485	3625	29.060665362
Sla341_2	Sla341	223	4084	14630	21.8232339425
Sla341_3	Sla341	360	2777	10599	20.7610645933
Sla374_1	Sla374	13	1307	2454	34.7513959053
Sla374_2	Sla374	263	5517	11812	31.8368053552
Sla374_3	Sla374	393	3986	8707	31.4031355865 
